Заголовок,Страница,Район,Дата,Цена
3-х комнатная на Терешковой,https://www.olx.ua/obyavlenie/3-h-komnatnaya-na-tereshkovoy-IDAsjEu.html#a206a16f05;promoted, Приморский,Вчера 11:58,7 000 грн.
Сдам 1-комнатную квартиру на Пишоновской,https://www.olx.ua/obyavlenie/sdam-1-komnatnuyu-kvartiru-na-pishonovskoy-IDAR19E.html#a206a16f05;promoted, Малиновский,4  июль,9 194 грн.
Своя 16 Жемчужина Кадорр на Л.Толстого,https://www.olx.ua/obyavlenie/svoya-16-zhemchuzhina-kadorr-na-l-tolstogo-IDzFdCS.html#a206a16f05;promoted, Приморский,Вчера 10:27,10 000 грн.
Новая квартира с панорамным видом моря.,https://www.olx.ua/obyavlenie/novaya-kvartira-s-panoramnym-vidom-morya-IDAEqC4.html#a206a16f05;promoted, Приморский,21  июнь,17 122 грн.
Сдам пентхаус на Проспекте Шевченко,https://www.olx.ua/obyavlenie/sdam-penthaus-na-prospekte-shevchenko-IDAvves.html#a206a16f05;promoted, Киевский,4  июль,23 761 грн.
сдам комнату в комуне,https://www.olx.ua/obyavlenie/sdam-komnatu-v-komune-IDyKIXU.html#a206a16f05, Киевский,Сегодня 07:29,3 000 грн.
ммммммммммммммммммм,https://www.olx.ua/obyavlenie/mmmmmmmmmmmmmmmmmmm-IDAUiAM.html#a206a16f05, Малиновский,Сегодня 07:06,555 грн.
Сдам 3х комнатную кватиру,https://www.olx.ua/obyavlenie/sdam-3h-komnatnuyu-kvatiru-IDAN5tv.html#a206a16f05;promoted, Киевский,Сегодня 07:03,10 500 грн.
сдам 1 комн на среднефонтанской ж\к Апельсин панорама моря,https://www.olx.ua/obyavlenie/sdam-1-komn-na-srednefontanskoy-zh-k-apelsin-panorama-morya-IDzOdR4.html#a206a16f05, Приморский,Сегодня 07:00,11 850 грн.
Сдам кухня студ спальня детская бунина пушкинская парко место,https://www.olx.ua/obyavlenie/sdam-kuhnya-stud-spalnya-detskaya-bunina-pushkinskaya-parko-mesto-IDAldg6.html#a206a16f05, Приморский,Сегодня 06:57,"18 433 грн.

Договорная"
